"spcd","hardwood","jenkins_group","wood_dry_weight","bark_dry_weight","wood_moisture","bark_moisture","bark_to_wood_volume","green_weight_factor","dry_weight_factor","sapling_adjustment","carbon_ratio","source_file","source_chain","source_last_modified","upstream_commit"
112,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.502,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
113,0,4,23.09,31.2,94.92,12.18,13.4,49.7,27.3,0.458,0.48,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
114,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.47,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
115,0,4,25.58,28.08,75.9,24.64,13.4,49.7,29.3,1.011,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
116,0,4,23.09,22.46,103.57,33.56,25.6,54.7,28.8,0.434,0.519,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
117,0,4,21.22,21.84,130,87.74,25.6,59.3,26.8,0.557,0.481,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
118,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.494,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
119,0,4,22.46,29.33,55.81,84.13,12.6,41.8,26.2,0.574,0.48,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
120,0,4,28.08,28.08,60.27,42.44,22,53.8,34.3,0.458,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
121,0,4,33.7,28.08,63.22,88.76,14,62.4,37.6,0.922,0.474,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,0,4,23.71,21.84,89.79,32.77,25.6,52.4,29.3,0.434,0.513,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
123,0,4,30.58,28.08,76.61,60.27,13.4,60,34.3,1.011,0.476,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
124,0,4,24.96,24.96,100.02,60.25,13.4,55.3,28.3,0.458,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
125,0,4,25.58,16.85,64.17,89.93,16,47.1,28.3,0.729,0.533,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
126,0,4,29.33,21.22,70.49,88.53,13.4,55.4,32.2,1.011,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
127,0,4,24.96,24.96,80.3,60.25,22,53.8,30.5,0.458,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
128,0,4,31.82,20.59,60.25,94.24,13.4,56.4,34.6,1.011,0.475,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
129,0,4,21.22,29.33,64.97,70.49,16,43,25.9,0.729,0.507,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
130,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,1.011,0.471,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
131,0,4,29.33,20.59,80.72,99.12,16.6,59.8,32.7,0.763,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
132,0,4,28.08,33.7,78.07,89.93,13.4,58.6,32.6,1.011,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
133,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.352,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
134,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.352,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
135,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.434,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
136,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.631,0.528,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
137,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
138,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.473,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
139,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
140,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.352,0.485,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
141,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.352,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
142,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.458,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
143,0,10,26.83,24.96,76.13,68.38,16.13,54,30.9,0.352,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
144,0,4,26.83,24.96,76.13,68.38,16.13,54,30.9,0.631,0.513,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
200,0,2,28.08,27.46,35,89,17.34,46.9,32.8,0.631,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
201,0,2,28.08,27.46,35,89,17.34,46.9,32.8,0.458,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,0,2,28.08,27.46,35.33,89.39,17.3,47,32.8,0.526,0.516,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
211,0,1,22.46,26.83,122.58,15.53,18,55.6,27.3,0.41,0.531,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
212,0,1,21.22,21.22,178.09,17.82,18,63.5,25,0.458,0.538,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
220,0,1,26.21,31.2,95,99,20,63.5,32.4,0.631,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
221,0,1,26.21,31.2,94.6,98.72,20,63.4,32.4,0.952,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
222,0,1,26.21,31.2,95,99,20,63.5,32.4,0.952,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
223,0,1,26.21,31.2,95,99,20,63.5,32.4,0.952,0.453,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
230,0,3,37.44,36.82,47,98,4,58,38.9,0.631,0.472,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
231,0,3,37.44,36.82,46.9,98.29,4,57.9,38.9,0.458,0.472,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
232,0,3,37.44,36.82,47,98,4,58,38.9,0.631,0.472,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
240,0,1,18.72,24.96,69.5,73.5,12.47,37.1,21.8,0.631,0.483,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
241,0,1,18.1,26.21,98.93,90.79,14,43,21.8,0.631,0.501,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,0,1,19.34,23.09,39.58,55.92,10.6,30.8,21.8,0.705,0.504,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
250,0,3,25.58,26.21,74.29,70.5,14.31,51,29.3,0.631,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
251,0,3,25.58,26.21,74.29,70.5,14.31,51,29.3,0.458,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
252,0,3,25.58,26.21,74.29,70.5,14.31,51,29.3,0.631,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,0,3,25.58,28.7,78.33,97.67,16.18,54.8,30.2,0.628,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
261,0,3,23.71,28.7,110.87,98.59,17,59.7,28.6,0.628,0.48,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
262,0,3,25.58,28.7,78.33,97.67,16.18,54.8,30.2,0.628,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,0,3,26.21,31.2,56.45,101.92,15.8,51,31.1,0.671,0.507,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
264,0,3,26.21,25.58,67.88,91.54,15.8,51.7,30.3,0.458,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
299,0,4,25.58,26.21,74.29,70.5,14.31,51,29.3,0.458,0.479,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
300,1,8,32.45,33.07,75.13,80.49,15.16,65.9,37.5,0.651,0.475,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
303,1,10,32.45,33.07,75.13,80.49,15.16,65.9,37.5,0.84,0.475,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
304,1,10,32.45,33.07,75.13,80.49,15.16,65.9,37.5,0.84,0.454,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
310,1,7,29.33,33.07,70.29,90.57,10.88,56.8,32.9,0.841,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
311,1,7,29.33,33.07,70.29,90.57,10.88,56.8,32.9,0.841,0.477,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
312,1,7,27.46,29.95,71.18,113.67,10,53.4,30.5,0.964,0.496,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
313,1,7,26.21,31.2,90.79,92.3,8.6,55.2,28.9,0.792,0.487,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
314,1,9,32.45,33.7,69.5,89.93,15.6,65,37.7,0.841,0.475,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
315,1,7,27.46,31.2,71.18,89.1,8.6,52.1,30.1,0.84,0.478,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
316,1,7,30.58,37.44,63.53,78.95,8.6,55.8,33.8,0.744,0.486,"wdbkwtdata.inc","FIADB REF_SPECIES to NBEL BM_REF_SPECIES to NVEL wdbkwtdata.inc","2023-10-16","38548071d5aa652bb90c7f111f86b427f798a1c9"
