"species","id","family","source_file","upstream_commit"
12,"I23FW2W012","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
17,"I23FW2W017","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
19,"I23FW2W019","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
73,"I23FW2W073","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
93,"I23FW2W093","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"I23FW2W108","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
119,"I23FW2W119","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"I23FW2W122","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"I23FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"I23FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"I23FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
42,"A00F32W042","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
98,"A00F32W098","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"A00F32W242","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"A00F32W260","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
42,"A00F33W042","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
98,"A00F33W098","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"A00F33W242","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"A00F33W260","flewelling_3pt","TREEVOLUME_FIXTURES/full/flewelling_3pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
