"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
37,59,231,1,231,1,123101,100,65
37,61,232,1,232,2,123202,76.1,65
37,63,231,1,231,1,123101,100,65
37,65,232,1,232,2,123202,95.3,65
37,67,231,1,231,1,123101,100,65
37,69,231,1,231,1,123101,100,65
37,71,231,1,231,1,123101,100,65
37,73,232,1,232,1,123201,100,65
37,75,1221,2,221,4,222104,100,65
37,77,231,1,231,1,123101,100,65
37,79,232,1,232,2,123202,100,65
37,81,231,1,231,1,123101,100,65
37,83,232,1,232,1,123201,53.2,65
37,85,231,1,231,1,123101,94.1,65
37,87,1221,2,221,4,222104,100,65
37,89,1221,2,221,4,222104,100,65
37,91,232,1,232,1,123201,100,65
37,93,231,1,231,1,123101,62,65
37,95,232,1,232,3,123203,100,65
37,97,231,1,231,1,123101,100,65
37,99,1221,2,221,4,222104,100,65
37,101,232,1,232,2,123202,52.2,66
37,103,232,1,232,3,123203,99,66
37,105,231,1,231,1,123101,100,66
37,107,232,1,232,2,123202,78.4,66
37,109,231,1,231,1,123101,100,66
37,111,1221,2,221,4,222104,100,66
37,113,1221,2,221,4,222104,100,66
37,115,1221,2,221,4,222104,99.7,66
37,117,232,1,232,3,123203,99.8,66
37,119,231,1,231,1,123101,100,66
37,121,1221,2,221,4,222104,100,66
37,123,231,1,231,1,123101,100,66
37,125,231,1,231,1,123101,100,66
37,127,231,1,231,1,123101,56.4,66
37,129,232,1,232,3,123203,100,66
37,131,232,1,232,1,123201,89.2,66
37,133,232,1,232,3,123203,100,66
37,135,231,1,231,1,123101,100,66
37,137,232,1,232,3,123203,100,66
37,139,232,1,232,1,123201,100,66
37,141,232,1,232,3,123203,98.9,66
37,143,232,1,232,1,123201,100,66
37,145,231,1,231,1,123101,100,66
37,147,232,1,232,3,123203,66.2,66
37,149,1221,2,221,4,222104,66.1,66
37,151,231,1,231,1,123101,100,66
37,153,231,1,231,1,123101,100,66
37,155,232,1,232,2,123202,100,66
37,157,231,1,231,1,123101,100,66
37,159,231,1,231,1,123101,100,66
37,161,231,1,231,1,123101,51,66
37,163,232,1,232,2,123202,98.1,66
37,165,231,1,231,1,123101,58.5,66
37,167,231,1,231,1,123101,100,66
37,169,231,1,231,1,123101,99.8,66
37,171,1221,2,221,4,222104,58.5,66
37,173,1221,2,221,4,222104,100,66
37,175,1221,2,221,4,222104,100,66
37,177,232,1,232,3,123203,100,66
37,179,231,1,231,1,123101,100,66
37,181,231,1,231,1,123101,100,66
37,183,231,1,231,1,123101,100,66
37,185,231,1,231,1,123101,100,66
37,187,232,1,232,3,123203,100,67
37,189,1221,2,221,4,222104,100,67
37,191,232,1,232,2,123202,100,67
37,193,1221,2,221,4,222104,80.4,67
37,195,232,1,232,2,123202,99.9,67
37,197,231,1,231,1,123101,100,67
37,199,1221,2,221,4,222104,100,67
38,1,331,1,331,6,133106,100,67
38,3,332,1,332,1,133201,100,67
38,5,332,1,332,1,133201,100,67
38,7,331,1,331,6,133106,100,67
38,9,332,1,332,1,133201,100,67
38,11,331,1,331,6,133106,100,67
38,13,332,1,332,1,133201,97.4,67
38,15,331,1,331,5,133105,92.7,67
38,17,251,1,251,1,125101,80.3,67
38,19,332,1,332,1,133201,83.6,67
38,21,332,1,332,1,133201,81.4,67
38,23,331,1,331,5,133105,75.7,67
38,25,331,1,331,6,133106,79.4,67
38,27,332,1,332,1,133201,100,67
38,29,331,1,331,5,133105,51,67
38,31,332,1,332,1,133201,100,67
38,33,331,1,331,6,133106,100,67
38,35,251,1,251,1,125101,99,67
38,37,331,1,331,6,133106,100,67
38,39,332,1,332,1,133201,100,67
38,41,331,1,331,6,133106,100,67
38,43,331,1,331,5,133105,95.3,67
38,45,332,1,332,1,133201,82.5,67
38,47,331,1,331,5,133105,100,67
38,49,332,1,332,1,133201,100,67
38,51,331,1,331,5,133105,100,67
38,53,331,1,331,6,133106,58,67
38,55,331,1,331,5,133105,95.1,67
38,57,331,1,331,5,133105,77.8,67
38,59,331,1,331,6,133106,95.2,67
38,61,331,1,331,5,133105,89.4,67
38,63,332,1,332,1,133201,94.3,67
38,65,331,1,331,5,133105,87,67
38,67,251,1,251,1,125101,100,67
38,69,332,1,332,1,133201,100,67
38,71,332,1,332,1,133201,100,68
38,73,332,1,332,1,133201,87.6,68
38,75,332,1,332,1,133201,100,68
38,77,251,1,251,1,125101,100,68
38,79,332,1,332,1,133201,100,68
38,81,332,1,332,1,133201,77,68
38,83,332,1,332,1,133201,52.7,68
38,85,331,1,331,6,133106,100,68
38,87,331,1,331,6,133106,100,68
38,89,331,1,331,6,133106,100,68
38,91,251,1,251,1,125101,54,68
38,93,332,1,332,1,133201,73.5,68
38,95,332,1,332,1,133201,100,68
38,97,251,1,251,1,125101,100,68
38,99,251,1,251,1,125101,77.4,68
38,101,332,1,332,1,133201,74.9,68
38,103,332,1,332,1,133201,97,68
38,105,331,1,331,5,133105,100,68
39,1,222,1,222,6,122206,76.5,68
39,3,222,1,222,8,122208,63.9,68
39,5,221,1,221,6,122106,58,68
39,7,221,1,221,6,122106,60.7,68
39,9,221,1,221,5,122105,100,68
39,11,222,1,222,8,122208,100,68
39,13,221,1,221,5,122105,100,68
39,15,222,1,222,8,122208,68.8,68
39,17,222,1,222,8,122208,100,68
39,19,221,1,221,5,122105,92.7,68
39,21,222,1,222,8,122208,100,68
39,23,222,1,222,8,122208,100,68
39,25,222,1,222,8,122208,65.9,68
39,27,222,1,222,8,122208,100,68
39,29,221,1,221,6,122106,90.3,68
39,31,221,1,221,5,122105,100,68
39,33,222,1,222,8,122208,100,68
39,35,222,1,222,9,122209,70.8,68
39,37,222,1,222,8,122208,100,68
39,39,222,1,222,9,122209,76.6,68
39,41,222,1,222,8,122208,91.6,68
39,43,222,1,222,9,122209,100,68
39,45,221,1,221,6,122106,93.8,68
39,47,222,1,222,8,122208,100,68
39,49,222,1,222,8,122208,85.9,69
39,51,222,1,222,9,122209,95.7,69
39,53,221,1,221,5,122105,100,69
39,55,221,1,221,6,122106,85.8,69
39,57,222,1,222,8,122208,100,69
39,59,221,1,221,5,122105,100,69
39,61,222,1,222,8,122208,61.2,69
39,63,222,1,222,9,122209,55.2,69
39,65,222,1,222,8,122208,100,69
39,67,221,1,221,5,122105,100,69
39,69,222,1,222,9,122209,100,69
39,71,222,1,222,8,122208,87.8,69
39,73,221,1,221,5,122105,74.8,69
39,75,221,1,221,5,122105,85.4,69
39,77,222,1,222,8,122208,73.2,69
39,79,221,1,221,5,122105,100,69
39,81,221,1,221,5,122105,100,69
39,83,221,1,221,6,122106,78.6,69
