"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",59,73,"EXCEPT",4,"40520.",40520,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",5,"40530.",40530,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",6,"40540.",40540,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",7,"40550.",40550,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",8,"40600.",40600,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",9,"40630.",40630,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",10,"40650.",40650,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",11,"40720.",40720,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",12,"40730.",40730,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",13,"40740.",40740,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",14,"40750.",40750,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",15,"40760.",40760,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",16,"40800.",40800,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",17,"40860.",40860,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",18,"40880.",40880,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",19,"40930.",40930,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",20,"40960.",40960,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",21,"40980.",40980,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",22,"41010.",41010,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",23,"41020.",41020,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",24,"41030.",41030,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",25,"41040.",41040,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",26,"41050.",41050,"38548071d5aa652bb90c7f111f86b427f798a1c9"
