"family","source_file","source_line_start","source_line_end","target","ordinal","literal","value_numeric","upstream_commit"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",47,"0.9435",0.9435,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",48,"1.3824",1.3824,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",49,"1.0615",1.0615,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",50,"0.9113",0.9113,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",51,"0.9886",0.9886,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",52,"0.9013",0.9013,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",53,"1.0127",1.0127,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",54,"0.8748",0.8748,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",55,"0.8293",0.8293,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",56,"1.0600",1.06,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",57,"1.1502",1.1502,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",58,"1.0230",1.023,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",59,"1.2324",1.2324,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",60,"1.0585",1.0585,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",61,"-0.2",-0.2,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",62,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",63,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",64,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",65,"-0.191",-0.191,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",66,"-0.191",-0.191,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",67,"-0.131",-0.131,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",68,"-0.131",-0.131,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",69,"-0.159",-0.159,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",70,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",71,"-0.488",-0.488,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",72,"-0.200",-0.2,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",73,"-0.200",-0.2,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",74,"-0.365",-0.365,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",75,"-0.365",-0.365,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",76,"-0.365",-0.365,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",77,"-0.143",-0.143,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",78,"-0.143",-0.143,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",79,"0.000",0,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",80,"-0.153",-0.153,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",81,"0.964",0.964,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",82,"0.884",0.884,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",83,"0.884",0.884,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",84,"0.884",0.884,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",85,"0.943",0.943,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",86,"0.943",0.943,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",87,"0.886",0.886,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",88,"0.886",0.886,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",89,"0.832",0.832,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",90,"0.884",0.884,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",91,"0.894",0.894,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",92,"0.964",0.964,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",93,"0.964",0.964,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",94,"0.887",0.887,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",95,"0.887",0.887,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",96,"0.887",0.887,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",97,"0.933",0.933,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",98,"0.933",0.933,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",99,"0.887",0.887,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",100,"0.883",0.883,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",101,"-0.201",-0.201,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",102,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",103,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",104,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",105,"-0.192",-0.192,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",106,"-0.192",-0.192,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",107,"-0.159",-0.159,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",108,"-0.159",-0.159,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",109,"-0.055",-0.055,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",110,"-0.041",-0.041,"38548071d5aa652bb90c7f111f86b427f798a1c9"
